epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.808798,4.74759,4.9727,1.78947,0.0375,0.375,0.04391,0.02023,2.17468,3.3488,1.54681,0,0,0
2,1.56702,3.47556,4.47944,1.92601,0.03797,0.375,0.04595,0.02437,2.17209,3.35982,1.54786,1.23763e-05,1.23763e-05,1.23763e-05
3,2.37391,4.25574,5.11992,1.61218,0.0375,0.375,0.0478,0.02595,2.16347,3.35966,1.53221,2.4505e-05,2.4505e-05,2.4505e-05
4,3.23457,3.45516,4.61601,1.76139,0.03529,0.375,0.0495,0.02834,2.14612,3.36113,1.51726,3.63862e-05,3.63862e-05,3.63862e-05
5,4.34066,4.64854,5.02249,1.85976,0.03529,0.375,0.0495,0.02834,2.14612,3.36113,1.51726,4.802e-05,4.802e-05,4.802e-05
6,5.50775,3.33034,5.12065,1.92157,0.03846,0.375,0.0565,0.03784,2.12995,3.34854,1.50807,5.94062e-05,5.94062e-05,5.94062e-05
7,6.63398,2.43353,4.42512,1.37082,0.03846,0.375,0.0565,0.03784,2.12995,3.34854,1.50807,7.0545e-05,7.0545e-05,7.0545e-05
8,7.70789,4.00412,4.84037,1.64969,0.04225,0.375,0.06434,0.04191,2.02754,3.36812,1.51739,8.14362e-05,8.14362e-05,8.14362e-05
9,8.60876,3.84395,4.47997,1.58143,0.04225,0.375,0.06434,0.04191,2.02754,3.36812,1.51739,9.208e-05,9.208e-05,9.208e-05
10,9.56444,4.34128,4.80535,1.75157,0.04054,0.375,0.07467,0.04458,2.21241,3.44434,1.69661,0.000102476,0.000102476,0.000102476
11,10.509,2.96448,4.44663,1.59044,0.04054,0.375,0.07467,0.04458,2.21241,3.44434,1.69661,0.000112625,0.000112625,0.000112625
12,11.4179,3.37394,4.89718,2.08314,0.04054,0.375,0.07467,0.04458,2.21241,3.44434,1.69661,0.000122526,0.000122526,0.000122526
13,12.423,2.92849,4.79132,1.97878,0.04286,0.375,0.05492,0.02831,2.16039,3.44316,1.67031,0.00013218,0.00013218,0.00013218
14,13.3353,3.22432,4.46725,1.54096,0.04286,0.375,0.05492,0.02831,2.16039,3.44316,1.67031,0.000141586,0.000141586,0.000141586
15,14.1779,3.02214,4.35851,1.60862,0.04286,0.375,0.05492,0.02831,2.16039,3.44316,1.67031,0.000150745,0.000150745,0.000150745
16,15.1329,2.89958,4.36872,1.62512,0.04225,0.375,0.04796,0.02176,2.05038,3.48544,1.61759,0.000159656,0.000159656,0.000159656
17,16.0572,2.76853,4.37539,1.38707,0.04225,0.375,0.04796,0.02176,2.05038,3.48544,1.61759,0.00016832,0.00016832,0.00016832
18,16.9642,2.41081,4.64396,1.3808,0.04225,0.375,0.04796,0.02176,2.05038,3.48544,1.61759,0.000176736,0.000176736,0.000176736
19,17.7917,3.05337,6.82064,2.17994,0.04225,0.375,0.04796,0.02176,2.05038,3.48544,1.61759,0.000184905,0.000184905,0.000184905
20,18.7336,2.52225,4.25239,1.35001,0.03797,0.375,0.04485,0.02167,2.09004,3.55791,1.69577,0.000192826,0.000192826,0.000192826
21,19.6687,2.59684,4.15499,1.2767,0.03797,0.375,0.04485,0.02167,2.09004,3.55791,1.69577,0.0002005,0.0002005,0.0002005
22,20.5237,3.30228,4.30169,1.30253,0.03797,0.375,0.04485,0.02167,2.09004,3.55791,1.69577,0.000207926,0.000207926,0.000207926
23,21.4638,2.53275,4.74549,1.82697,0.03797,0.375,0.04485,0.02167,2.09004,3.55791,1.69577,0.000215105,0.000215105,0.000215105
24,22.4469,4.83784,5.21697,1.80287,0.03529,0.375,0.04872,0.01973,2.07569,3.58219,1.7614,0.000222036,0.000222036,0.000222036
25,23.4236,2.19084,4.0267,1.29608,0.03529,0.375,0.04872,0.01973,2.07569,3.58219,1.7614,0.00022872,0.00022872,0.00022872
26,24.2818,3.25167,4.31018,1.39026,0.03529,0.375,0.04872,0.01973,2.07569,3.58219,1.7614,0.000235156,0.000235156,0.000235156
